Company Name,Ticker,Industry,Sustainalytics ESG Risk Rating,CA100+ Net Zero GHG Emissions Ambition
"American Airlines Group, Inc.",AAL,Transportation,23.8,"PARTIAL, MEETS SOME CRITERIA"
"Berkshire Hathaway, Inc.",BRK.B,Diversified Financials,26.2,"NO, DOES NOT MEET ANY CRITERIA"
"Caterpillar, Inc.",CAT,Machinery,28.3,"NO, DOES NOT MEET ANY CRITERIA"
Colgate-Palmolive Co.,CL,Household Products,23.2,"YES, MEETS ALL CRITERIA"
Ford Motor Co.,F,Automobiles,27.6,"YES, MEETS ALL CRITERIA"
"Delta Air Lines, Inc.",DAL,Transportation,30.5,"YES, MEETS ALL CRITERIA"
"United Airlines Holdings, Inc.",UAL,Transportation,27,"YES, MEETS ALL CRITERIA"
General Motors Co.,GM,Automobiles,27,"YES, MEETS ALL CRITERIA"
Procter & Gamble Co.,PG,Household Products,25.8,"YES, MEETS ALL CRITERIA"
Unilever Plc,ULVR,Household Products,21.2,"YES, MEETS ALL CRITERIA"
ConocoPhillips,COP,Oil & Gas Producers,33.1,"PARTIAL, MEETS SOME CRITERIA"
Chevron Corp.,CVX,Oil & Gas Producers,37,"NO, DOES NOT MEET ANY CRITERIA"
Exxon Mobil Corp.,XOM,Oil & Gas Producers,43.7,"PARTIAL, MEETS SOME CRITERIA"
